stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
1000,6178,KATIMAVIK / CASTLEFRANK,,,45.308545,-75.899298,,,0,,,,,
10004,3009,RIDEAU C,,,45.425447,-75.693272,,,0,3009_stn,,,,C
10006,7041,GREENFIELD / GREENFIELD,,,45.417371,-75.678383,,,0,,,,,
10008,7043,GREENFIELD / HAVELOCK,,,45.415171,-75.679981,,,0,,,,,
1001,0806,KATIMAVIK / MCGIBBON,,,45.30675,-75.902101,,,0,,,,,
10014,3025,ST-LAURENT A,,,45.420716,-75.638292,,,0,3025_stn,,,,A
10015,3025,ST-LAURENT B,,,45.420709,-75.636971,,,0,3025_stn,,,,B
10016,3025,ST-LAURENT C,,,45.420515,-75.637431,,,0,3025_stn,,,,C
10017,3025,ST-LAURENT D,,,45.420432,-75.638555,,,0,3025_stn,,,,D
1002,6170,KATIMAVIK / DAVIS,,,45.304551,-75.905385,,,0,,,,,
10021,0495,VANTAGE / AD. 303,,,45.458809,-75.490131,,,0,,,,,
10023,0880,PARKDALE / ARMSTRONG,,,45.402307,-75.730073,,,0,,,,,
10024,0882,PARKDALE / WELLINGTON,,,45.400384,-75.728926,,,0,,,,,
10025,0883,PARKDALE / OXFORD,,,45.402836,-75.730303,,,0,,,,,
10026,0881,PARKDALE / WELLINGTON,,,45.400666,-75.728993,,,0,,,,,
10027,3060,BAYVIEW A,,,45.409358,-75.721442,,,0,3060_stn,,,,A
10028,3060,BAYVIEW B,,,45.408245,-75.723363,,,0,3060_stn,,,,B
10029,NO351,ST-PAUL H.S,,,45.340997,-75.792116,,,,,,0,,
1003,6193,KATIMAVIK / AD. 200,,,45.303852,-75.905967,,,0,,,,,
10032,RB439,FLANNERY / BROOKFIELD H.S.,,,45.373411,-75.684979,,,,,,0,,
10033,RH766,FINDLAY CREEK / KELLY FARM,,,45.317266,-75.599916,,,,,,0,,
10034,0299,STRANDHERD / HIGHPOINTE PATH,,,45.275899,-75.729727,,,0,,,,,
10035,0298,STRANDHERD / APPLEDALE PATH,,,45.276094,-75.730148,,,0,,,,,
10037,5224,ST-PAUL H.S,,,45.340889,-75.792417,,,0,,,,,
10038,WM050,MARCH ROAD / TERRY FOX,,,45.347941,-75.923805,,,,,,0,,
1004,6385,TERRY FOX / PALLADIUM,,,45.30071,-75.906165,,,0,,,,,
10042,3022,LEES A,,,45.416008,-75.670368,,,0,3022_stn,,,,A
10043,3022,LEES B,,,45.415885,-75.670266,,,0,3022_stn,,,,B
10047,0644,WALLER / LAURIER E,,,45.424434,-75.687027,,,0,,,,,
10048,8972,KING EDWARD / STEWART,,,45.427209,-75.684429,,,0,,,,,
1005,6383,TERRY FOX / MAPLE GROVE,,,45.298762,-75.903733,,,0,,,,,
10053,3074,CHAPEL HILL B,,,45.432722,-75.523733,,,0,3074_stn,,,,B
10054,3074,CHAPEL HILL A,,,45.433183,-75.523016,,,0,3074_stn,,,,A
10055,8077,MERIVALE / THAMES,,,45.385239,-75.732388,,,0,,,,,
10056,WG488,GRANDVIEW / HASTINGS,,,45.361365,-75.865692,,,,,,0,,
10057,7626,MAIN / HAWTHORNE,,,45.413133,-75.68033,,,0,,,,,
1006,6382,TERRY FOX / EDGEWATER,,,45.296545,-75.900888,,,0,,,,,
1007,2308,HAZELDEAN / TERRY FOX,,,45.293803,-75.89496,,,0,,,,,
10070,0639,WALLER / NICHOLAS,,,45.424534,-75.687169,,,0,,,,,
10071,7486,NICHOLAS / BESSERER,,,45.425302,-75.689982,,,0,,,,,
1008,5410,HAZELDEAN / YOUNG,,,45.295337,-75.89256,,,0,,,,,
1009,5409,HAZELDEAN / CASTLEFRANK,,,45.297237,-75.889635,,,0,,,,,
10090,2499,CAMPEAU / HERLIHEY,,,45.310878,-75.917268,,,0,,,,,
10091,5450,TERRY FOX / CENTRUM,,,45.308738,-75.915849,,,0,,,,,
10093,8527,OGILVIE / CYRVILLE,,,45.42487,-75.634921,,,0,,,,,
10094,6699,OGILVIE / CUMMINGS,,,45.426074,-75.632148,,,0,,,,,
10098,7044,RING  / TOH GENERAL CAMPUS,,,45.399811,-75.648337,,,0,,,,,
1010,0827,HAZELDEAN / CASTLEFRANK,,,45.299057,-75.886767,,,0,,,,,
10104,8001,SUSSEX / MURRAY,,,45.428998,-75.69629,,,0,,,,,
1011,6161,436 HAZELDEAN,,,45.300828,-75.883913,,,0,,,,,
10112,7829,INNES / WILDFLOWER,,,45.456614,-75.501216,,,0,,,,,
10117,3527,ROCKLAND / BUCKLAND,,,45.355834,-75.352794,,,0,,,,,
10118,3529,ROCKDALE / ALCIDE,,,45.353815,-75.351726,,,0,,,,,
10119,3526,ROCKDALE / ALCIDE,,,45.353414,-75.351598,,,0,,,,,
1012,6166,HAZELDEAN / CARBROOKE,,,45.302212,-75.880733,,,0,,,,,
10120,3528,ROCKDALE / FARWEL,,,45.351377,-75.350392,,,0,,,,,
10121,3568,ROCKDALE / RUSSLAND,,,45.340635,-75.344538,,,0,,,,,
10122,3530,ROCKDALE / HIGHWAY 417,,,45.340599,-75.344695,,,0,,,,,
10123,3532,VARS PARK AND RIDE,,,45.332509,-75.345309,,,0,,,,,
10129,0675,FAMILLE-LAPORTE /  HONFLEUR,,,45.500188,-75.468613,,,0,,,,,
1013,6298,HAZELDEAN / CARBROOK,,,45.30291,-75.879097,,,0,,,,,
10130,0596,BOOTH / ZAIDA EDDY,,,45.419799,-75.717526,,,0,,,,,
